Module,Smell,Count
_codespell,Complex Method,1
_codespell,Empty Catch Block,7
_codespell,Long Identifier,1
_codespell,Long Message Chain,1
_codespell,Long Method,2
_codespell,Long Statement,38
_codespell,Magic Number,1
_spellchecker,Complex Method,2
_spellchecker,Long Method,2
_spellchecker,Long Parameter List,2
addr,Magic Number,8
alienvault,Long Parameter List,1
alienvault,Missing Default,1
badips,Long Parameter List,1
checkpointing,Long Parameter List,1
colorized,Long Lambda Function,5
colorized,Long Statement,11
common,Empty Catch Block,6
common,Long Message Chain,1
common,Long Parameter List,1
common,Long Statement,2
common,Magic Number,1
dataplane,Complex Conditional,1
dataplane,Long Parameter List,1
dataplane,Long Statement,1
ff_ippo,Long Lambda Function,2
ff_ippo,Long Method,3
ff_ippo,Long Statement,11
ff_ippo,Magic Number,2
ff_ippo_store_experience,Long Lambda Function,3
ff_ippo_store_experience,Long Method,3
ff_ippo_store_experience,Long Statement,17
ff_ippo_store_experience,Magic Number,1
ff_isac,Complex Method,3
ff_isac,Long Lambda Function,1
ff_isac,Long Method,1
ff_mappo,Long Lambda Function,2
ff_mappo,Long Method,3
ff_mappo,Long Statement,12
ff_mappo,Magic Number,2
log,Empty Catch Block,1
log,Long Method,1
log,Long Parameter List,2
log,Long Statement,10
log,Magic Number,1
rec_ippo,Long Lambda Function,3
rec_ippo,Long Method,3
rec_ippo,Long Statement,21
rec_ippo,Magic Number,2
settings,Empty Catch Block,8
settings,Long Identifier,11
settings,Long Parameter List,1
settings,Long Statement,33
settings,Magic Number,12
test_basic,Empty Catch Block,1
test_basic,Long Identifier,6
test_basic,Long Method,7
test_basic,Long Statement,20
test_basic,Magic Number,42
test_dictionary,Long Method,2
test_dictionary,Long Parameter List,1
test_dictionary,Long Statement,16
test_dictionary,Magic Number,6
update,Complex Conditional,4
update,Empty Catch Block,3
update,Long Method,1
update,Long Parameter List,3
update,Long Statement,13
update,Magic Number,12
