Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,ff_ippo_store_experience.py,_update_step,Complex method,,68,308,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,run_experiment,Complex method,,451,670,Method 'run_experiment' has cyclomatic complexity of 9 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,_update_step,Long method,,68,308,Method '_update_step' has 222 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,run_experiment,Long method,,451,670,Method 'run_experiment' has 220 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,learner_setup,Long method,,346,448,Method 'learner_setup' has 103 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,_update_epoch,Long method,,154,296,Method '_update_epoch' has 143 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,file_level,Long statement,104,,,Line 104 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,364,,,Line 364 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,402,,,Line 402 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,439,,,Line 439 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,run_experiment,Long identifier,502,,,Identifier 'dummy_flashbax_transition' has 26 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,run_experiment,Long identifier,534,,,Identifier 'dummy_flashbax_transition' has 26 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,run_experiment,Long identifier,635,,,Identifier 'unreplicated_learner_state' has 27 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,run_experiment,Long identifier,653,,,Identifier 'num_absolute_metric_eval_episodes' has 34 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,_get_advantages,Magic number,148,,,Magic number 16 found in '_get_advantages'. Define as UNROLL_STEPS = 16.
dataset,ff_ippo_store_experience.py,_actor_loss_fn,Magic number,176,,,Magic number 1e-8 found in '_actor_loss_fn'. Define as EPSILON_NORMALIZATION = 1e-8.
dataset,ff_ippo_store_experience.py,learner_setup,Magic number,372,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,ff_ippo_store_experience.py,learner_setup,Magic number,376,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,ff_ippo_store_experience.py,_critic_loss_fn,Magic number,209,,,Magic number 0.5 found in '_critic_loss_fn'. Define as VALUE_LOSS_COEFFICIENT = 0.5.
dataset,ff_ippo_store_experience.py,run_experiment,Magic number,463,,,Magic number 3 found in 'run_experiment'. Define as NUM_PRNG_KEYS = 3.
dataset,ff_ippo_store_experience.py,run_experiment,Magic number,523,,,Magic number 5e5 found in 'run_experiment'. Define as BUFFER_MAX_LENGTH = 5e5.
dataset,ff_ippo_store_experience.py,file_level,Long lambda function,104,,,Lambda at line 104 has 93 characters (threshold: 80). Convert to named function.
dataset,ff_ippo_store_experience.py,learner_setup,Long lambda function,413,,,Lambda at line 413 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_ippo_store_experience.py,learner_setup,Long lambda function,434,,,Lambda at line 434 has 82 characters (threshold: 80). Convert to named function.
dataset,ff_ippo_store_experience.py,learner_setup,Long lambda function,438,,,Lambda at line 438 has 95 characters (threshold: 80). Convert to named function.
dataset,ff_ippo_store_experience.py,learner_setup,Long message chain,354,,,Message chain at line 354 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
