Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,ff_ippo_store_experience.py,_update_step,Complex method,,68,308,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,learner_setup,Complex method,,346,448,Method 'learner_setup' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,run_experiment,Complex method,,451,670,Method 'run_experiment' has cyclomatic complexity of 10 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,_update_step,Long method,,68,308,Method '_update_step' has 241 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,learner_setup,Long method,,346,448,Method 'learner_setup' has 103 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,run_experiment,Long method,,451,670,Method 'run_experiment' has 220 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,_actor_loss_fn,Long parameter list,163,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_ippo_store_experience.py,_critic_loss_fn,Long parameter list,193,,,Method '_critic_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_ippo_store_experience.py,get_learner_fn,Long statement,228,,,Line 228 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,learner_setup,Long statement,364,,,Line 364 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,run_experiment,Long statement,673,,,Line 673 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long identifier,48,,,"Identificador 'StoreExpLearnerFn' tem 18 caracteres, mas o tipo completo 'Callable[[MavaState], Tuple[ExperimentOutput[MavaState], PPOTransition]]' não é um identificador definido. O identificador real 'StoreExpLearnerFn' não excede 20 caracteres."
dataset,ff_ippo_store_experience.py,file_level,Long identifier,473,,,"Variável 'num_updates_per_eval' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long identifier,476,,,"Variável 'num_updates_per_eval' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long identifier,502,,,"Variável 'dummy_flashbax_transition' tem 27 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long identifier,529,,,"Variável 'num_updates_per_eval' tem 21 caracteres, excedendo o limite de 20."
dataset,ff_ippo_store_experience.py,file_level,Long identifier,535,,,"Variável 'dummy_flashbax_transition' tem 27 caracteres, excedendo o limite de 20."
